precoFipe,precoMinimo,precoMedio,precoMaximo,brand,model,version,modelYear,carroceria,versionId
66212,54990,64486,83890,AUDI,A3,1.4 TFSI SPORTBACK 16V GASOLINA 4P S-TRONIC,2014,Hatchback,d93f561116ebe4c2b17048e0396f2f02
73421,62000,71198,92990,AUDI,A3,1.4 TFSI SPORTBACK 16V GASOLINA 4P S-TRONIC,2015,Hatchback,c9812fdd84fd5e98b8494eb0b8a14657
74985,64900,77165,110000,AUDI,A3,1.4 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P S-TRONIC,2016,Hatchback,72397347d1782796cc00634188023995
0,83900,90944,96900,AUDI,A3,1.4 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P S-TRONIC,2017,Hatchback,72a48cdba3177b5551752237be8e92d8
0,83900,90944,96900,AUDI,A3,1.4 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P S-TRONIC,2017,Hatchback,72a48cdba3177b5551752237be8e92d8
0,89900,114171,129890,AUDI,A3,1.4 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P S-TRONIC,2018,Hatchback,87ef1e0105a3c5fe5790b2b523775b92
0,89900,114171,129890,AUDI,A3,1.4 TFSI SPORTBACK AMBIENTE 16V GASOLINA 4P S-TRONIC,2018,Hatchback,87ef1e0105a3c5fe5790b2b523775b92
73421,58000,68265,77900,AUDI,A3,1.4 TFSI SPORTBACK ATTRACTION 16V GASOLINA 4P S-TRONIC,2015,Hatchback,0667077823d9b758ffc8acfe9bab2e06
,95000,121167,145000,AUDI,A3,1.8 TFSI CABRIOLET AMBITION 16V 180CV GASOLINA 2P AUTOMÁTICO,2015,Conversível,93ad5d78292008f7b04766c37bcdb326
,129980,134990,145000,AUDI,A3,1.8 TFSI CABRIOLET AMBITION 16V 180CV GASOLINA 2P AUTOMÁTICO,2016,Conversível,885de5481848b47c986f1f9deb7e1799
,64500,73605,84900,AUDI,A3,1.8 TFSI SEDAN 20V 180CV GASOLINA 4P AUTOMÁTICO,2014,Sedã,da08500c78548563e79e7cc32358a476
,69990,80043,98900,AUDI,A3,1.8 TFSI SEDAN 20V 180CV GASOLINA 4P AUTOMÁTICO,2015,Sedã,27c09e7268c9f0c47e478e8b4455c846
,63000,77117,105888,AUDI,A3,1.8 TFSI SEDAN AMBITION 20V 180CV GASOLINA 4P AUTOMÁTICO,2014,Sedã,d91d871425b6a07784db01586119e363
,69900,82267,105000,AUDI,A3,1.8 TFSI SEDAN AMBITION 20V 180CV GASOLINA 4P AUTOMÁTICO,2015,Sedã,e2b5b0f6c249da3c49f9c705b281aa8a
,68900,92339,144900,AUDI,A3,1.8 TFSI SEDAN AMBITION 20V 180CV GASOLINA 4P AUTOMÁTICO,2016,Sedã,2ac7e8fd0ff39d23320d4b9a26d1f0aa
65506,59900,66340,69900,AUDI,A3,1.8 TFSI SPORT 16V GASOLINA 2P S-TRONIC,2013,Hatchback,6354253f76b0ca011b49d6a95db3d8ba
70350,63900,68816,79900,AUDI,A3,1.8 TFSI SPORT 16V GASOLINA 2P S-TRONIC,2014,Hatchback,7426c47cb7171d4e02e3a99f4af6ab29
,60000,74024,85000,AUDI,A3,1.8 TFSI SPORTBACK 16V GASOLINA 4P AUTOMÁTICO,2014,Hatchback,3fcf95224f8a9689bd0645b458d04e18
,64000,82292,98900,AUDI,A3,1.8 TFSI SPORTBACK 16V GASOLINA 4P AUTOMÁTICO,2015,Hatchback,8026a367fe494685320a46e01d41be24
,60000,73568,85000,AUDI,A3,1.8 TFSI SPORTBACK AMBITION 16V GASOLINA 4P AUTOMÁTICO,2014,Hatchback,3d8cecd4144c8ed23924aa9dce8aeb4c
,72000,81256,89000,AUDI,A3,1.8 TFSI SPORTBACK AMBITION 16V GASOLINA 4P AUTOMÁTICO,2015,Hatchback,be219750ceaf34bc5207a1ab8959f7c5
,74000,87882,120999,AUDI,A3,1.8 TFSI SPORTBACK AMBITION 16V GASOLINA 4P AUTOMÁTICO,2016,Hatchback,55849b73f0fe30605a549a52ef549cbb
167612,155000,165575,181500,AUDI,A3,2.0 TFSI CABRIOLET AMBITION 16V GASOLINA 2P S-TRONIC,2018,Conversível,0e03725e88233051c7867934b0a3303c
161736,162990,163940,164890,AUDI,A3,2.0 TFSI GASOLINA SEDAN PERFORMANCE S-TRONIC,2019,Sedã,a25adab8fb35e0af2c303694bec23323
100290,79900,98933,136888,AUDI,A3,2.0 TFSI SEDAN AMBITION 16V GASOLINA 4P S-TRONIC,2016,Sedã,5f47787aa4921825561e478a81eca7f1
125696,100000,120650,129990,AUDI,A3,2.0 TFSI SEDAN AMBITION 16V GASOLINA 4P S-TRONIC,2017,Sedã,f81f0b6b4f1e38dd7c457962c30a733f
141250,126800,137421,160000,AUDI,A3,2.0 TFSI SEDAN AMBITION 16V GASOLINA 4P S-TRONIC,2018,Sedã,d4f6bbf195236b15d5c13ef8ca56a2f5
51727,46000,48630,49990,AUDI,A3,2.0 TFSI SPORT 16V GASOLINA 2P S-TRONIC,2011,Hatchback,cb292105b199af69b609fcb94830310c
55211,47500,52475,56900,AUDI,A3,2.0 TFSI SPORT 16V GASOLINA 2P S-TRONIC,2012,Hatchback,13931f5289b52d585bb5188d1c0ec7e3
56569,46900,58094,84700,AUDI,A3,2.0 TFSI SPORTBACK 16V GASOLINA 4P S-TRONIC,2011,Hatchback,da65560ce3e8a2a1767d7a3d8d2c727e
58874,52000,63862,69800,AUDI,A3,2.0 TFSI SPORTBACK 16V GASOLINA 4P S-TRONIC,2012,Hatchback,138003b9e046967c567ed8da5dc73391
65330,62900,65700,70000,AUDI,A3,2.0 TFSI SPORTBACK 16V GASOLINA 4P S-TRONIC,2013,Hatchback,a53753bb570a99646039127a2424b6c3
93312,73000,88812,106000,AUDI,A4,1.8 TFSI AMBIENTE AVANT GASOLINA 4P MULTITRONIC,2015,Perua/SW,bedc8d663c613f0a725cda5eaa63ce23
